GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
23.2403422129,111.5302654691,23.2376212946,111.5353884883,23.243282,111.541932,广东省云浮市郁南县工业大道33号,-,郁南县都城镇华航通讯中山路店
0,0,0,0,0,0,-,-,郁南县都城镇智诚通讯经营部
0,0,0,0,0,0,-,-,郁南县都城镇创域通讯二号店
0,0,0,0,0,0,-,-,云安区宇讯达电讯经营部
23.0786609222,112.0030147418,23.0759416869,112.008202134,23.081721,112.014794,广东省云浮市云安县府前一路9号,-,云安区广信通讯店
0,0,0,0,0,0,-,-,云浮盈信通信器材有限公司
0,0,0,0,0,0,-,-,云浮市云城区越前线手机经营店
22.9334075381,112.0365962754,22.9307447629,112.0418963204,22.936678,112.048445,广东省云浮市云城区兴云西路11号,-,云浮市自由易电信有限公司
0,0,0,0,0,0,-,-,云城区诚信通讯设备店
0,0,0,0,0,0,-,-,云城区蒲公英电子产品店
0,0,0,0,0,0,-,-,云城区中港通讯设备经营部
0,0,0,0,0,0,-,-,德城镇百灵通讯
0,0,0,0,0,0,-,-,广州酷之优电子配件有限公司
0,0,0,0,0,0,-,-,德庆县德城镇锐辉通讯商行、德庆县德城镇康城大道锐辉通讯商行
0,0,0,0,0,0,-,-,德庆县和信电讯经营部
0,0,0,0,0,0,-,-,德庆县德城中港通手机经营部
0,0,0,0,0,0,-,-,德庆县好邻居简卓文具用品专柜、德庆县好邻居超级商场、德庆县好邻居电器专柜
0,0,0,0,0,0,-,-,鹤山市沙坪广视电讯商店
0,0,0,0,0,0,-,-,鹤山市沙坪崇德路互动通信设备经营部
0,0,0,0,0,0,-,-,鹤山市沙坪新天地广视电讯商店
0,0,0,0,0,0,-,-,鹤山市沙坪崇德路新新百货电器商店
0,0,0,0,0,0,-,-,新会区会城龙讯电讯店
22.5216161201,113.0302732572,22.5188214716,113.0355893955,22.52516,113.042026,广东省江门市新会区西隅路20号,-,新会区会城璟源电讯店
22.5214921201,113.0300752572,22.5186974716,113.0353913955,22.525036,113.041828,广东省江门市新会区西隅路24号,-,新会区会城三星电讯店
0,0,0,0,0,0,-,-,新会区会城骏威电讯店
0,0,0,0,0,0,-,-,新会区会城长江电讯商行
0,0,0,0,0,0,-,-,新会区会城阿亮手机配件店
0,0,0,0,0,0,-,-,新会区南艺风情饰品店
22.2567788581,112.783508435,22.2539192011,112.7886314542,22.260242,112.795071,广东省江门市台山市环北大道45号,-,台山市台城镇泰和通讯店
0,0,0,0,0,0,-,-,台山市台城广源电讯经营部
22.257881823,112.7993084994,22.2550072719,112.8044207898,22.261329,112.810858,广东省江门市台山市东郊路21号,-,台山市台城北斗手机店
0,0,0,0,0,0,-,-,开平市长沙零之度电讯店
0,0,0,0,0,0,-,-,开平市长沙龙诚电讯行
0,0,0,0,0,0,-,-,开平市长沙机锋电讯行
0,0,0,0,0,0,-,-,佛山市顺德区衡兴通信设备有限公司
0,0,0,0,0,0,-,-,佛山市顺德区建华电子科技有限公司
23.0643194385,113.0537653372,23.0617628727,113.0591994927,23.067857,113.065722,广东省佛山市南海区北湖三路1号,-,佛山中实通信设备有限公司、中国电信股份有限公司顺德伦教客户服务中心、中国电信股份有限公司顺德伦教振兴路客户服务中心
0,0,0,0,0,0,-,-,佛山市顺德区睿隆通讯设备有限公司
0,0,0,0,0,0,-,-,顺德区陈村镇中汇电讯器材经营部、广州新机汇通讯科技有限公司
0,0,0,0,0,0,-,-,佛山市顺德区杏坛镇悦通通信器材店
22.9628640133,113.2265288265,22.9601326802,113.2318503292,22.965896,113.238413,广东省佛山市顺德区樟村路38号-5号铺,-,佛山市顺德区陈村镇众泰通讯店
22.9211015312,113.067618565,22.9184976547,113.0730634493,22.924409,113.079597,广东省佛山市顺德区水藤大道,-,佛山市顺德区日日信通讯器材有限公司、佛山市顺德区北滘镇龙域电讯店
0,0,0,0,0,0,-,-,顺德区北滘镇万家信电讯店、佛山市顺德区日日信通讯器材有限公司第三分公司
0,0,0,0,0,0,-,-,佛山市顺德区均安镇万灵电讯器材店
0,0,0,0,0,0,-,-,广东易初莲花连锁超市有限公司、中域电讯连锁集团股份有限公司
23.1496720692,113.3205079065,23.1470726331,113.3259098754,23.152838,113.332466,广东省广州市天河区林和中路166号,-,中国电信股份有限公司、中国电信股份有限公司广州分公司、余清权
0,0,0,0,0,0,-,-,广东骏和通信设备连锁销售有限公司、广东骏和通信设备连锁销售有限公司桥东综合部、珠海市新创科技有限公司
0,0,0,0,0,0,-,-,清远市清新区太和镇天惠通讯店、清远市天鸿通信科技有限公司
23.7357453193,113.0078492471,23.7331427334,113.0131761142,23.739252,113.019663,广东省清远市清新区滨江路3号,-,清远市清新区太和镇新一线通讯店
0,0,0,0,0,0,-,-,清远市清新区太和镇淘宝数码港通讯店
23.7364833193,113.0082532471,23.7338807334,113.0135801142,23.73999,113.020067,广东省清远市清新区滨江路24号,-,清远市清新区太和镇龙波手机店
0,0,0,0,0,0,-,-,清远市清新区太和镇华龙通手机店
0,0,0,0,0,0,-,-,清远市清新区太和镇三六五通讯店
0,0,0,0,0,0,-,-,清城区鸿兴通信店
23.7130410218,113.0236828787,23.710501884,113.0290741189,23.716846,113.035516,广东省清远市清城区北门街92号,-,清远市清城区三和配件批发店
0,0,0,0,0,0,-,-,清远市清新区太和镇焯捷电讯滨江路二分店
0,0,0,0,0,0,-,-,清远市清城区品至电讯店
0,0,0,0,0,0,-,-,清远市清新区太和镇京东通手机店
23.7120638053,113.0229938861,23.7094951994,113.0283529397,23.715756,113.034812,广东省清远市清城区西门街14号,-,清远市清城区京东数码城
23.7367513193,113.0044942471,23.7341487334,113.0098211142,23.740258,113.016308,广东省清远市清新区中山路北8号-2,-,清远市清新区太和镇立信通讯店
0,0,0,0,0,0,-,-,清远市清城区鸿骏数码通讯店
0,0,0,0,0,0,-,-,清远市清城区安桌手机店
0,0,0,0,0,0,-,-,清远市清城区东城时代通信店
0,0,0,0,0,0,-,-,清远市清城区鸿星数码店
0,0,0,0,0,0,-,-,清远市清城区创达通讯店
0,0,0,0,0,0,-,-,清远市清城区创科通讯器材店
0,0,0,0,0,0,-,-,清远市清城区潭江手机配件批发店
23.4739930964,112.9986679232,23.4713902638,113.0039411461,23.477321,113.010468,广东省清远市清城区S114,-,清远市清城区尚诚通讯店
0,0,0,0,0,0,-,-,清远市清城区广俊手机店、清远市清城区广源通信店
0,0,0,0,0,0,-,-,清远市清新区太和镇华力商店、深圳市奋强科技有限公司
0,0,0,0,0,0,-,-,清远市清城区东升通讯店
0,0,0,0,0,0,-,-,南雄市雄州街道好机汇数码胜利街店、中国移动通信集团公司
0,0,0,0,0,0,-,-,乐昌市游通电讯店、中国联合网络通信集团有限公司
0,0,0,0,0,0,-,-,始兴县大家来通讯店、中国移动通信集团公司
0,0,0,0,0,0,-,-,乳源瑶族自治县诚讯手机店
0,0,0,0,0,0,-,-,乳源瑶族自治县家和电讯店、中国移动通信集团公司
0,0,0,0,0,0,-,-,南雄市雄州街道明信通讯店、中国移动通信集团公司
0,0,0,0,0,0,-,-,中国移动通信集团广东有限公司乳源分公司鹰峰中路营业厅、中国移动通信集团公司
0,0,0,0,0,0,-,-,陈越波
0,0,0,0,0,0,-,-,乳源瑶族自治县易购通信店
24.7593010043,113.3121342627,24.756475637,113.3176274268,24.762393,113.324186,广东省韶关市乳源瑶族自治县南环东路,-,乳源瑶族自治县海滨电讯店
0,0,0,0,0,0,-,-,乳源瑶族自治县展信电讯门市部、中国联合网络通信集团有限公司
0,0,0,0,0,0,-,-,南雄市雄州街道长河电讯店
0,0,0,0,0,0,-,-,南雄市雄州街道长汇电讯店、中国移动通信集团公司
0,0,0,0,0,0,-,-,南雄市雄州街道银海电讯店、南雄市明珠商务有限公司
0,0,0,0,0,0,-,-,乐昌市环城电讯行、中国移动通信集团公司
25.1247553395,113.3521030218,25.1220452946,113.3577088386,25.127828,113.364287,广东省韶关市乐昌市人民南路100号,-,中国联合网络通信有限公司韶关市分公司沙洲尾营业厅、中国联合网络通信有限公司韶关市分公司、中国联合网络通信有限公司
0,0,0,0,0,0,-,-,始兴县中兴通讯第二营业厅、中国移动通信集团公司
24.9518424962,114.0566186836,24.949138199,114.0618919065,24.954817,114.068464,广东省韶关市始兴县墨江桥北路50,-,始兴县知音通讯维修部、中国移动通信集团公司
0,0,0,0,0,0,-,-,始兴县兴达通讯店
0,0,0,0,0,0,-,-,乳源瑶族自治县佳成电讯店、中国移动通信集团公司
0,0,0,0,0,0,-,-,武江区新联正大电讯新华南厅
0,0,0,0,0,0,-,-,始兴县中兴通讯、中国移动通信集团公司
0,0,0,0,0,0,-,-,汕头市澄海区优信数码通讯店
23.5452189165,116.8052018256,23.5426076317,116.8097454877,23.548271,116.816339,广东省汕头市澄海区南美路,-,汕头市澄海区易品数码手机店
0,0,0,0,0,0,-,-,汕头市澄海区星宇电讯经营部
0,0,0,0,0,0,-,-,汕头市澄海区星亿电讯经营部
0,0,0,0,0,0,-,-,汕头市澄海区零点数码电子店
0,0,0,0,0,0,-,-,汕头市联讯通讯科技有限公司
0,0,0,0,0,0,-,-,杜练生
0,0,0,0,0,0,-,-,汕头市金平区东方园欧胜电子经营部
0,0,0,0,0,0,-,-,陈斯远
0,0,0,0,0,0,-,-,广州驰讯网络科技有限公司
0,0,0,0,0,0,-,-,广州禾翰电子科技有限公司
0,0,0,0,0,0,-,-,广州星仕派电子科技有限公司
23.1516800541,113.4393100515,23.1491743367,113.4448032156,23.15492,113.45134,广东省广州市天河区南翔三路11号,-,广州魔音电子科技有限公司
0,0,0,0,0,0,-,-,曲江区马坝镇悦讯经营部
0,0,0,0,0,0,-,-,李荣杰
0,0,0,0,0,0,-,-,台山市台城北斗星手机店
0,0,0,0,0,0,-,-,广州冠胚商贸有限公司
23.0969889211,113.2247002803,23.0943145001,113.2300325118,23.100075,113.236584,广东省广州市荔湾区东漖北路100号,-,广州迪爵斯电子科技有限公司
0,0,0,0,0,0,-,-,广州荣睿电子科技有限公司
0,0,0,0,0,0,-,-,广州雷果贸易有限公司、深圳市智齐盛电子有限公司
0,0,0,0,0,0,-,-,惠城区广泰通讯产品经营部
0,0,0,0,0,0,-,-,惠城区汇薪通讯店
0,0,0,0,0,0,-,-,惠州市惠城区新领域通讯器材店
0,0,0,0,0,0,-,-,惠州市惠城区天拓手机店
0,0,0,0,0,0,-,-,惠城区友缘通讯行
0,0,0,0,0,0,-,-,惠州市惠城区鑫意达通讯行
0,0,0,0,0,0,-,-,惠州市惠城区宏城手机店
23.150261114,114.5414518427,23.1475038358,114.5460706066,23.153157,114.552623,广东省惠州市惠城区东兴南三路2,-,惠州市惠城区智望通手机店
22.9668324621,114.2540294248,22.9640961897,114.2588734943,22.970194,114.265374,广东省惠州市惠城区,-,惠州市惠城区宜宾通讯器材商店
0,0,0,0,0,0,-,-,惠州市惠城区新领域通讯器材六十九号店
0,0,0,0,0,0,-,-,惠州市惠城区中易电讯通讯江北店
0,0,0,0,0,0,-,-,惠州市惠城区金惠港手机店
0,0,0,0,0,0,-,-,惠州市惠城区利明通讯行
0,0,0,0,0,0,-,-,惠州市惠城区超亿通讯行
0,0,0,0,0,0,-,-,惠州市惠城区合联五创手机店
0,0,0,0,0,0,-,-,惠州市惠城区国联数码产品经营部
23.1898729412,114.4029669792,23.1874123521,114.4079505235,23.193178,114.414525,广东省惠州市惠城区惠州大道631号,-,惠州市惠城区合联通信店
0,0,0,0,0,0,-,-,郭俊平
23.0362420257,114.3592661974,23.0336799535,114.3642121908,23.040021,114.370658,广东省惠州市惠城区振兴路19号,-,惠州市惠阳区淡水一帆通讯南门大店、惠州市一帆实业有限公司
23.1240560857,114.4184300443,23.1215697277,114.4233974954,23.127234,114.429947,广东省惠州市惠城区旺岗路29号,-,惠州市惠城区龙星通讯店
22.7947781215,114.4639224928,22.7920779832,114.4687611979,22.798395,114.475184,广东省惠州市惠阳区南门中路59-2,-,惠州市惠阳区淡水伟略手机配件店
0,0,0,0,0,0,-,-,欧阳治翔
22.7936251215,114.4677044928,22.7909249832,114.4725431979,22.797242,114.478966,广东省惠州市惠阳区开城大道北16-2,-,惠州市惠阳区淡水朗讯通讯器材商店
0,0,0,0,0,0,-,-,惠州市惠阳区淡水联惠手机通讯店
0,0,0,0,0,0,-,-,惠州市惠城区简易通讯手机专卖店、马达文
0,0,0,0,0,0,-,-,惠州市惠城区小茗通讯店、惠州市惠城区博大通讯行
0,0,0,0,0,0,-,-,惠州市惠阳区淡水新国顺通讯器材店
0,0,0,0,0,0,-,-,惠州市惠阳区淡水宜宾通讯商店
0,0,0,0,0,0,-,-,惠州市惠阳区淡水新豪数码通讯店
0,0,0,0,0,0,-,-,惠州市惠阳区新圩新领域通讯器材店
0,0,0,0,0,0,-,-,惠州市惠阳区秋长宇讯达通讯店
0,0,0,0,0,0,-,-,惠州市惠阳区秋长和讯手机配件店
0,0,0,0,0,0,-,-,惠州市惠阳区淡水惠诚通讯店
0,0,0,0,0,0,-,-,广州市天河区石牌飞乐腾天电子经营部
23.1351208622,113.332233965,23.132536031,113.3376573916,23.138216,113.344223,广东省广州市天河区石牌西路8号255,-,广州市创以晨电子科技有限公司
0,0,0,0,0,0,-,-,惠州大亚湾至尊环球数码经营部
0,0,0,0,0,0,-,-,惠城区鑫佳盈通讯行
23.0860813052,114.4419142363,23.083559663,114.4468495009,23.089466,114.453376,广东省惠州市惠城区长湖东路,-,惠城区惠海数码产品经营部
0,0,0,0,0,0,-,-,惠城区爱琴海数码产品经营部
0,0,0,0,0,0,-,-,惠州市旺达通讯科技有限公司（三星专卖店）
0,0,0,0,0,0,-,-,广州市博铧办公设备有限公司、广州市今远信息科技有限公司
23.0362420257,114.3592661974,23.0336799535,114.3642121908,23.040021,114.370658,广东省惠州市惠城区振兴路19号,-,惠州市暮里实业有限公司
0,0,0,0,0,0,-,-,惠州市一帆实业有限公司
23.1336318622,113.332004965,23.131047031,113.3374283916,23.136727,113.343994,广东省广州市天河区西直街29号-101室,-,广州展望置业有限公司
0,0,0,0,0,0,-,-,广州市天河区石牌宝云晟电子经营部、 广州市天河区石牌乐华丹电子经营部
22.775277948,114.4308145866,22.7726417127,114.4357444868,22.778391,114.442276,广东省惠州市惠阳区老围路,-,惠州市惠阳区淡水鑫讯手机通讯店、惠州市惠阳区淡水荣力五金店
0,0,0,0,0,0,-,-,惠州市惠城区国豪通讯店、中国移动通信集团广东有限公司中区分公司
0,0,0,0,0,0,-,-,惠州市惠阳区淡水惠龙手机配件商店
0,0,0,0,0,0,-,-,惠州市惠阳区淡水华科电讯配件店
0,0,0,0,0,0,-,-,惠州大亚湾联讯通讯世纪城二分店、惠州大亚湾联讯通讯世纪城五分店
0,0,0,0,0,0,-,-,惠州市惠阳区秋长佰胜通讯店
22.7961931215,114.4664594928,22.7934929832,114.4712981979,22.79981,114.477721,广东省惠州市惠阳区崇雅路11,-,惠州市惠阳区淡水广晟通讯店
0,0,0,0,0,0,-,-,惠州大亚湾中城国联手机店
0,0,0,0,0,0,-,-,惠州大亚湾新世纪通讯店
0,0,0,0,0,0,-,-,惠州帀创宇数码实业有限公司
23.0716592142,114.4150524095,23.0691470679,114.4200144962,23.07482,114.426604,广东省惠州市惠城区螺仔湖南街24号,-,惠城区国宏通讯店
0,0,0,0,0,0,-,-,惠州市惠城区国联电讯行
0,0,0,0,0,0,-,-,惠州市惠阳区淡水新大正手机店
22.7847091568,114.4586275132,22.7820286033,114.4634930404,22.788256,114.469928,广东省惠州市惠阳区中山一路58,-,惠州市惠阳区淡水中意通讯店
23.633812366,115.1810147059,23.6313208164,115.1859016907,23.637558,115.19235,广东省河源市紫金县永安大道南70号,-,紫金县城创高通讯店
23.7409314595,114.695777671,23.7382748571,114.7004661725,23.744524,114.706914,广东省河源市源城区人民路2号,-,河源市源城区环球通讯店
0,0,0,0,0,0,-,-,河源市和瑞贸易有限公司万隆城分公司、河源市和瑞贸易有限公司
0,0,0,0,0,0,-,-,河源市源城区鑫旺通讯店
0,0,0,0,0,0,-,-,河源市乐语通讯设备有限公司长塘路分店、河源市乐语通讯设备有限公司
23.7392794595,114.6962066711,23.7366228571,114.7008951725,23.742872,114.707343,广东省河源市源城区公园路25号,-,河源市源城区天地通讯店
23.7478568985,114.7024077712,23.7452005001,114.7070962726,23.751448,114.713551,广东省河源市源城区旺源路38,-,河源市源城区旺福路旺源通讯店
0,0,0,0,0,0,-,-,河源市源城区东江盈科三星店、河源市源城区盈立通讯产品店
0,0,0,0,0,0,-,-,河源市源城区东江盈科诺基亚店、河源市源城区盈立通讯产品店
0,0,0,0,0,0,-,-,河源市源城区中山路盈信通讯店、河源市源城区盈立通讯产品店
0,0,0,0,0,0,-,-,河源市源城区盈立通讯产品店
0,0,0,0,0,0,-,-,河源市源城区盈立通讯产品店
0,0,0,0,0,0,-,-,河源市源城区盈立通讯产品店
0,0,0,0,0,0,-,-,广州市淘淘乐品牌管理有限公司、广州市贰木商贸有限公司、东莞市茶山新世界时装店
0,0,0,0,0,0,-,-,东莞市苍鹭户外用品有限公司、广州市淘淘乐品牌管理有限公司、东莞市茶山新世界时装店、广州市贰木商贸有限公司、广州市贰木商贸有限公司人和分公司
0,0,0,0,0,0,-,-,东莞市南城行一文具店
0,0,0,0,0,0,-,-,东莞市塘厦行一文具店
0,0,0,0,0,0,-,-,东莞市塘厦行一文具店
0,0,0,0,0,0,-,-,东莞市塘厦行一文具店
22.9989001203,113.7131042903,22.9961397653,113.7182809537,23.001904,113.724826,广东省东莞市东莞市新兴二路59号,-,东莞市莞城乐淘淘文具店
0,0,0,0,0,0,-,-,东莞市南城新一代文具店
0,0,0,0,0,0,-,-,东莞市东城千社文具店
0,0,0,0,0,0,-,-,东莞市东城千社文具店
0,0,0,0,0,0,-,-,东莞市东城千社文具店
0,0,0,0,0,0,-,-,东莞市东城行艺文具店
0,0,0,0,0,0,-,-,东莞市东城行艺文具店
0,0,0,0,0,0,-,-,东莞市莞城行益文具店
0,0,0,0,0,0,-,-,东莞市莞城行益文具店
0,0,0,0,0,0,-,-,东莞市东城行一文具店
0,0,0,0,0,0,-,-,东莞市南城行一文具店
0,0,0,0,0,0,-,-,东莞市莞城行行工艺品店
0,0,0,0,0,0,-,-,东莞市莞城行行工艺品店
0,0,0,0,0,0,-,-,东莞市南城乐生活文具店
0,0,0,0,0,0,-,-,东莞市东城行益文具
0,0,0,0,0,0,-,-,东莞市莞城行亿工艺品店
0,0,0,0,0,0,-,-,东莞市汇基商贸有限公司、东莞市莞城惠智日用品店
0,0,0,0,0,0,-,-,东莞市嘉荣超市有限公司中堂店、东莞市嘉荣超市有限公司、深圳市泰博实业有限公司
0,0,0,0,0,0,-,-,东莞家乐福商业有限公司、东莞家乐福商业有限公司鸿福店、中山市云腾摄影器材有限公司
0,0,0,0,0,0,-,-,东莞家乐福商业有限公司、东莞家乐福商业有限公司宏伟店、东莞金捷电线电缆有限公司
0,0,0,0,0,0,-,-,东莞市厚街盈凯日用品商行、广州市拾元优质商贸管理有限公司、深圳市流行美投资有限公司
0,0,0,0,0,0,-,-,刘建良
0,0,0,0,0,0,-,-,刘建良
23.1243168716,113.2818246928,23.1216529148,113.2871622887,23.127983,113.293588,广东省广州市越秀区东华东路380号,-,广州市越秀区桦顺电器商行、广州市越秀区讯桦电器商行
0,0,0,0,0,0,-,-,广州市萝岗区潮挚品百货店
0,0,0,0,0,0,-,-,东莞市塘厦乐生活文具店
0,0,0,0,0,0,-,-,东莞市塘厦乐生活文具店
